Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
1975.160,True,True,True,11050,761,The American Wing,1975,Painting,Approaching Thunder Storm,American,,,,,259,Artist, ,Martin Johnson Heade,1819–1904, ,"Heade, Martin Johnson",American,1819      ,1904      ,,http://vocab.getty.edu/page/ulan/500000888,https://www.wikidata.org/wiki/Q3123472,1859,1859,1859,Oil on canvas,"28 x 44in. (71.1 x 111.8cm)
Framed: 42 1/2 × 58 3/8 × 5 in. (108 × 148.3 × 12.7 cm)","Gift of Erving Wolf Foundation and Mr. and Mrs. Erving Wolf, in memory of Diane R. Wolf, 1975",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11050,https://www.wikidata.org/wiki/Q19923771,,"Metropolitan Museum of Art, New York, NY",Landscapes|Storms|Boats,http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300054734|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q81054|https://www.wikidata.org/wiki/Q35872
23.102,True,False,True,11055,,The American Wing,1923,Painting,Euphemia White Van Rensselaer,American,,,,,259,Artist, ,George P. A. Healy,1813–1894, ,"Healy, George P. A.",American,1813      ,1894      ,,http://vocab.getty.edu/page/ulan/500022150,https://www.wikidata.org/wiki/Q64633,1842,1842,1842,Oil on canvas,45 3/4 x 35 1/4 in. (115.1 x 89.2 cm),"Bequest of Cornelia Cruger, 1923",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11055,https://www.wikidata.org/wiki/Q19924635,,"Metropolitan Museum of Art, New York, NY",Portraits|Women,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q467
62.256.3,True,True,True,11080,759,The American Wing,1962,Painting,The Falls of Niagara,American,,,,,260,Artist, ,Edward Hicks,"American, Langhorne, Pennsylvania 1780–1849 Newton, Pennsylvania", ,"Hicks, Edward",American,1780      ,1849      ,,http://vocab.getty.edu/page/ulan/500022183,https://www.wikidata.org/wiki/Q2723190,ca. 1825,1822,1825,Oil on canvas,31 1/2 x 38 in. (80 x 96.5 cm),"Gift of Edgar William and Bernice Chrysler Garbisch, 1962",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11080,https://www.wikidata.org/wiki/Q20170619,,"Metropolitan Museum of Art, New York, NY",Animals|Eagles|Snakes|Waterfalls|Trees,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300250049|http://vocab.getty.edu/page/aat/300250870|http://vocab.getty.edu/page/aat/300008736|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q2092297|https://www.wikidata.org/wiki/Q2102|https://www.wikidata.org/wiki/Q34038|https://www.wikidata.org/wiki/Q10884
82.9.7,True,False,False,11088,761,The American Wing,1882,Painting,A Study of Trap Rock (Buttermilk Falls),American,,,,,16431,Artist, ,John Henry Hill,"American, West Nyack, New York 1839–1922", ,"Hill, John Henry",American,1839      ,1922      ,,http://vocab.getty.edu/page/ulan/500022043,https://www.wikidata.org/wiki/Q20127348,1863,1863,1863,Oil on canvas,20 x 24 in. (50.8 x 61 cm),"Gift of the artist, 1882",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11088,https://www.wikidata.org/wiki/Q19924995,,"Metropolitan Museum of Art, New York, NY",Landscapes|Waterfalls,http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300008736,https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q34038
22.220,True,True,True,11116,,The American Wing,1922,Painting,Dressing for the Carnival,American,,,,,16199,Artist, ,Winslow Homer,"American, Boston, Massachusetts 1836–1910 Prouts Neck, Maine", ,"Homer, Winslow",American,1836      ,1910      ,,http://vocab.getty.edu/page/ulan/500019202,https://www.wikidata.org/wiki/Q344838,1877,1877,1877,Oil on canvas,"20 x 30in. (50.8 x 76.2cm)
Framed: 31 9/16 × 41 1/2 × 5 7/8 in. (80.1 × 105.4 × 14.9 cm)","Amelia B. Lazarus Fund, 1922",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11116,https://www.wikidata.org/wiki/Q3172216,,"Metropolitan Museum of Art, New York, NY",Girls|Women|Children|Boys,http://vocab.getty.edu/page/aat/300247581|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300025945|http://vocab.getty.edu/page/aat/300247598,https://www.wikidata.org/wiki/Q3031|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q7569|https://www.wikidata.org/wiki/Q3010
06.1234,True,True,True,11122,767,The American Wing,1906,Painting,The Gulf Stream,American,,,,,16199,Artist, ,Winslow Homer,"American, Boston, Massachusetts 1836–1910 Prouts Neck, Maine", ,"Homer, Winslow",American,1836      ,1910      ,,http://vocab.getty.edu/page/ulan/500019202,https://www.wikidata.org/wiki/Q344838,1899; reworked by 1906,1899,1906,Oil on canvas,"28 1/8 x 49 1/8 in. (71.4 x 124.8 cm)
Framed: 42 5/16 x 62 11/16 x 5 7/8 in. (107.5 x 159.3 x 15 cm)","Catharine Lorillard Wolfe Collection, Wolfe Fund, 1906",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11122,https://www.wikidata.org/wiki/Q7738501,,"Metropolitan Museum of Art, New York, NY",Men|Fish|Seas|Waves|Boats,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300266085|http://vocab.getty.edu/page/aat/300008694|http://vocab.getty.edu/page/aat/300343616|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q152|https://www.wikidata.org/wiki/Q165|https://www.wikidata.org/wiki/Q165848|https://www.wikidata.org/wiki/Q35872
10.64.5,True,True,True,11130,767,The American Wing,1910,Painting,Northeaster,American,,,,,16199,Artist, ,Winslow Homer,"American, Boston, Massachusetts 1836–1910 Prouts Neck, Maine", ,"Homer, Winslow",American,1836      ,1910      ,,http://vocab.getty.edu/page/ulan/500019202,https://www.wikidata.org/wiki/Q344838,1895; reworked by 1901,1895,1901,Oil on canvas,"34 1/2 x 50 in. (87.6 x 127 cm)
Framed: 48 13/16 x 64 3/4 x 5 7/8 in. (124 x 164.5 x 15 cm)","Gift of George A. Hearn, 1910",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11130,https://www.wikidata.org/wiki/Q18619431,,"Metropolitan Museum of Art, New York, NY",Seascapes|Waves|Storms,http://vocab.getty.edu/page/aat/300117546|http://vocab.getty.edu/page/aat/300343616|http://vocab.getty.edu/page/aat/300054734,https://www.wikidata.org/wiki/Q158607|https://www.wikidata.org/wiki/Q165848|https://www.wikidata.org/wiki/Q81054
22.207,True,True,True,11133,762,The American Wing,1922,Painting,Prisoners from the Front,American,,,,,16199,Artist, ,Winslow Homer,"American, Boston, Massachusetts 1836–1910 Prouts Neck, Maine", ,"Homer, Winslow",American,1836      ,1910      ,,http://vocab.getty.edu/page/ulan/500019202,https://www.wikidata.org/wiki/Q344838,1866,1866,1866,Oil on canvas,"24 x 38in. (61 x 96.5cm)
Framed: 36 1/2 × 50 5/8 × 4 1/2 in. (92.7 × 128.6 × 11.4 cm)","Gift of Mrs. Frank B. Porter, 1922",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11133,https://www.wikidata.org/wiki/Q12141828,,"Metropolitan Museum of Art, New York, NY",American Civil War|Soldiers|Prisoners|Men,http://vocab.getty.edu/page/ia/901000030|http://vocab.getty.edu/page/aat/300185678|http://vocab.getty.edu/page/aat/300025933|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8676|https://www.wikidata.org/wiki/Q4991371|https://www.wikidata.org/wiki/Q1862087|https://www.wikidata.org/wiki/Q8441
67.187.131,True,True,True,11145,762,The American Wing,1967,Painting,The Veteran in a New Field,American,,,,,16199,Artist, ,Winslow Homer,"American, Boston, Massachusetts 1836–1910 Prouts Neck, Maine", ,"Homer, Winslow",American,1836      ,1910      ,,http://vocab.getty.edu/page/ulan/500019202,https://www.wikidata.org/wiki/Q344838,1865,1865,1865,Oil on canvas,"24 1/8 x 38 1/8in. (61.3 x 96.8cm)
Framed: 37 3/8 × 51 1/4 × 5 1/4 in. (94.9 × 130.2 × 13.3 cm)","Bequest of Miss Adelaide Milton de Groot (1876-1967), 1967",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11145,https://www.wikidata.org/wiki/Q19930492,,"Metropolitan Museum of Art, New York, NY",Men|Farmers,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025607,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q131512
97.5,True,False,True,11160,762,The American Wing,1897,Painting,The Last Moments of John Brown,American,,,,,16458,Artist, ,Thomas Hovenden,"American (born Ireland), Dunmanway 1840–1895 Plymouth Meeting, Pennsylvania", ,"Hovenden, Thomas","American, born Ireland",1840      ,1895      ,,http://vocab.getty.edu/page/ulan/500030718,https://www.wikidata.org/wiki/Q3525211,1882–84,1882,1884,Oil on canvas,77 3/8 x 66 1/4 in. (196.5 x 168.3 cm),"Gift of Mr. and Mrs. Carl Stoeckel, 1897",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11160,https://www.wikidata.org/wiki/Q20174584,,"Metropolitan Museum of Art, New York, NY",American Civil War|Soldiers|Firearms|Infants|Men|Women,http://vocab.getty.edu/page/ia/901000030|http://vocab.getty.edu/page/aat/300185678|http://vocab.getty.edu/page/aat/300037148|http://vocab.getty.edu/page/aat/300189561|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q8676|https://www.wikidata.org/wiki/Q4991371|https://www.wikidata.org/wiki/Q12796|https://www.wikidata.org/wiki/Q998|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467
02.7.1,True,False,True,11207,756,The American Wing,1902,Painting,The Flower Girl,American,,,,,16456,Artist, ,Charles Cromwell Ingham,"American (born Ireland), Dublin 1786–1863 New York", ,"Ingham, Charles Cromwell","American, born Ireland",1786      ,1863      ,,http://vocab.getty.edu/page/ulan/500019611,https://www.wikidata.org/wiki/Q5076001,1846,1846,1846,Oil on canvas,36 x 28 3/8 in. (91.4 x 72.1 cm),"Gift of William Church Osborn, 1902",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11207,https://www.wikidata.org/wiki/Q19923866,,"Metropolitan Museum of Art, New York, NY",Girls|Portraits|Flowers,http://vocab.getty.edu/page/aat/300247581|http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q3031|https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q506
